C_eps_pF,epsilon,dw_AWR,dw_analytical,pct_error
100,0.015625,0.5420220892982588,0.14320549046737,278.4925337215063
200,0.03125,0.5113529261165546,0.2072890493972125,146.68593329148192
300,0.046875,0.49059888712241795,0.25958199571618984,88.99572975731608
400,0.0625,0.47729212551752465,0.30618621784789724,55.88295543551439
500,0.078125,0.4696816481824273,0.34938562148434216,34.43073191936614
600,0.09375,0.4664322404831903,0.3903123748998999,19.5022936699899
700,0.109375,0.4664993086494874,0.42961647140211,8.585061258709517
800,0.125,0.4690575293712536,0.46770717334674267,0.28871826250777566
900,0.140625,0.4734606403122491,0.5048592006688597,-6.219270702606271
1000,0.15625,0.4792021809937765,0.5412658773652742,-11.466397378235971
1100,0.171875,0.48589223804324566,0.5770682910193559,-15.799872284622202
1200,0.1875,0.4932334240692944,0.6123724356957945,-19.455319129629185
1300,0.203125,0.5009986503261468,0.6472598492877494,-22.59698313166648
1400,0.21875,0.5090192304978727,0.6817945071647321,-25.34125383106295
1500,0.234375,0.5171688180525025,0.71602745233685,-27.7724874423943
1600,0.25,0.5253536829857818,0.75,-29.952842268562428
